runNumber,timeToCrossFirst3M,timeToCrossSecond3M,timeToCrossThird3M
0,14.50014,19.98027,11.84008
runNumber,timeToCrossFirst3M,timeToCrossSecond3M,timeToCrossThird3M
0,14.64015,31.68053,13.32012
runNumber,timeToCrossFirst3M,timeToCrossSecond3M,timeToCrossThird3M
0,14.76015,18.92024,13.28011
runNumber,timeToCrossFirst3M,timeToCrossSecond3M,timeToCrossThird3M
0,14.76015,18.92024,13.28011
1,15.00015,19.00024,12.6801
runNumber,timeToCrossFirst3M,timeToCrossSecond3M,timeToCrossThird3M
0,14.76015,18.92024,13.28011
1,15.00015,19.00024,12.6801
2,14.86015,66.60084,17.70021
runNumber,timeToCrossFirst3M,timeToCrossSecond3M,timeToCrossThird3M
0,14.76015,18.92024,13.28011
1,15.00015,19.00024,12.6801
2,14.86015,66.60084,17.70021
3,18.22023,41.26075,12.26009
runNumber,timeToCrossFirst3M,timeToCrossSecond3M,timeToCrossThird3M
0,14.76015,18.92024,13.28011
1,15.00015,19.00024,12.6801
2,14.86015,66.60084,17.70021
3,18.22023,41.26075,12.26009
4,14.50014,43.06079,11.56007
runNumber,timeToCrossFirst3M,timeToCrossSecond3M,timeToCrossThird3M
0,13.24011,30.58051,10.64005
runNumber,timeToCrossFirst3M,timeToCrossSecond3M,timeToCrossThird3M
0,17.44021,20.12027,12.6201
runNumber,timeToCrossFirst3M,timeToCrossSecond3M,timeToCrossThird3M
0,15.82017,20.08027,12.7401
